“再说，羽川也没有向任何人求救明明向我求救就好了，羽川拜托的事情，我什么都愿意做” 忍野：“说不定有求救过。即使没说出口请救我，不代表不想得到求救。就像是即使没开口说喜欢，不代表不喜欢了一样。”,猫物语*黑
与其因怀疑而后悔，不如因信任而后悔,刀剑神域
“悲伤的事和艰辛的事，我不认为它们徒劳无益。如果那就是命运的话，就必然有其意义。我会全部接受它们并变得坚强。所以——所以请为我驻足”,回转企鹅罐
生きるてことは、罰なんだね,回转企鹅罐
成功只是偶然，付出就有回报并不是公理,分数满天飞的日子
我始终不是一只蝙蝠，习惯在夜里成长......,我是蝴蝶，还是蝴蝶是我
时间是用来流浪的，肉体是用来享乐的，生命是用来遗忘的，灵魂是用来歌唱的,流浪者之歌
知道么？樱花飘落的速度是每秒5厘米。那，我要以怎样的速度生活才能与你重逢?,秒速5厘米
伸出双手，亦无法触及之物；离开双手，即不断流逝之物...人们总是追求着这样的东西，而总有一天，迷失了方向......,后天的方向
像水面一样平静的眷恋，渐渐扩展开去,Fantastic Children
还能再见面吗　　　　　　　　一定能见面的,Fantastic Children
没有偶然的必然，只有必然的偶然,魔卡少女樱
迷失在羊群之中的狼，被寂寞的利齿撕裂自己的身体......,羊之歌
我们不是狼，我们只是长着獠牙的羊......,羊之歌
貌似什么都看见了，看见的却什么都不是......,湖边的蓝斯洛
你是我今生的物语 是我不曾听闻的传奇,Stories
永远难忘 栅栏外那片白色的忧伤,无痕的生长
那是，未满45秒的邂逅。,EF-a tale of memories
放着牛奶和咖啡的托盘掉在地上，不但杯子没破还刚好变成了咖啡牛奶--有如这种情形的事件根本不可能发生。,神的记事本
当你登上高处时，在你的眼中别人很渺小，殊不知在别人眼中你也很渺小。,刀刀
往往拯救叻世界都人，却拯救不了自己。失去最重要都东西。,刀刀
时间会随着人的感觉而改变长短，相对论还真是浪漫，而又让人悲伤地东西呢,命运石之门
小時候畫在手腕上不會動的手表 卻帶走我們最美好的時光,无
可是就算我们通一千次短信，我们各自的心，大概也只会相互靠近一厘米吧。,秒速五厘米
想了解喜欢的人，可是，却不能理解。,文学少女
灿烂的青春总是稍纵即逝，要想让那瞬间永驻，必须全力以赴！,在盛夏等待
红茶的温度和女人心在任何时代都是难以琢磨呢。,猫鸣泣之时
也许很多人都会喜欢可以预见的未来，我却趋向于走向未知。,自己
最痛苦的是在刚衍生希望变成绝望的那一刻，而且还反复几次。,自己
人的一生会遭遇各种各样的事，其中有令人难以置信的事，也有不讲道理的事，但都必须予以克服，这就是生活。,地狱少女
你还差得远呢,网球王子
我是一个没有过去和未来的人。,盗墓笔记
如果我们就这样死在山里面 他们会不会说我们是殉情,星空
我们回家吧,星空
我并不羡慕别人的人生，这就是所谓幸福。,Lucky star
你若盛开，清风自来,网络
任何时候都不要放弃，就算时钟停了，也还有两个时刻是准确的.,最文摘
我还在原地等你 你却已经忘记来过这里,某个签子
你才不懂，根本完全不懂。你刚刚说死后的世界只有一片虚无，对吧？不过呢，这根本就不对。我猜你想要说的，是从此就不用再受苦了吧。不过说到死这回事，其实就是消失啊。消失的不是痛苦，而是本身的存在。,无头骑士异闻录
你逃不掉的。无论你如何挣扎，无论你去到哪里，过去都会如影随形。,无头骑士异闻录
遇到了遇到了遇到了！！！,突然想起来我是个中二
愿：你的烦恼痛苦心不在焉，你的快乐幸福全神贯注。,CANICRY
她有心，她的心在我這裏。,Chobits
願：汝之煩惱痛苦心不在焉，汝之快樂幸福全神貫注。,CANICRY
日在校园告诉我们，男人开后宫必死无疑；圣诞之吻告诉我们，男人开后宫可以回档重来……,和谐社
其实人再怎么样就是学不乖，笨到有够讨厌，虽然完全不会进步，可是也会慢慢习惯的。,《仰望半月的夜空》
不可以什么事都聒噪地说出来，真正重要的想法，到死为止都得保存在心底深处哟。,《文学少女》
我要拼上性命，成为你的人。,仰望半月的夜空
你的那双手呢，是为了紧紧抓住什么而存在的哦。,仰望半月的夜空
嗯，真的是这样呢。无法保持一颗永远纯粹心灵的自己，充其量大概也只能拥有那种程度的恋爱罢了。被困在无聊的事情中，有时会错意，即便明白毫无意义，仍旧一再重蹈覆辙。,仰望半月的夜空
回忆是无法斩断的牵绊，联系着不论咫尺或天涯、已逝或犹存的一切。,原创
我讨厌夏天，热死人，白天又长，知了也吵得要死，还捡回了那种东西………………我讨厌夏天，热死人，白天又长，知了也吵得要死。她也……不在了。,快要坏掉的八音盒
我一直都以为真正错的人是你，终于要原谅你时，却发现其实错的是我，那些自以为的宽容慈悲，只不过是一场可笑的自欺欺人而已！,少年丞相世外客徐冽番外
端是：纵然情深，奈何缘浅。,少年丞相世外客番外之徐冽
临宇：“永远有多远？”亦寒：“永远，比公子的生命多一天”,少年丞相世外客
子默：“真的……很开心。哪怕，千年只为这一刹那，我也了无遗憾了……伽蓝……我爱……”,少年丞相世外客
子默：“伽蓝，我再也看不到那一天了，但这却是我为你谋划的最后一个计策。唯一一个全心全意，只为你所定的计策。”,少年丞相世外客
只要你想 你就是在天涯海角 我都会追去 。,癫小二
"基动一个人会爆爽到肢体上,然后想起菊花来。",张胖纸
我想你了，可我，真的不能对你说，怕只怕，说了，对你，也是一种折磨。,癫小二
如果你注定不能给予我期待的回应 那么就保持在安全距离之外吧,癫小二
排排坐 吃果果 我一个 我一个 我一个 还是我一个…嘿嘿嘿嘿,癫小二
是谁入了我的梦 给了我一整夜的温馨,癫小二
所谓的结婚，就是绝不再真正地独自一人，也绝不会再让爱人真正地独自一人，就是一个这样的约定。,花开物语
在水里放屁的有什么资格说别人。,极乐园女子高寮物语
不自恋、难道自卑给别人看！,原创
难道是可爱的人打嗝都停不下来的吗？,极乐园女子高寮物语
唯有你的心跳、支撑着我寻找到你。,天使的心跳
街上照明光华璀璨 乙醚麻醉的冰冷 无法成眠的凌晨两点 一切事物快速地转变,《炉心融解》镜音リン
